amfi_code,scheme_name,fund_house,plan,category,beta,alpha_daily,alpha_annual,r_squared
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Regular,Equity,-0.0232,0.001204,30.337,0.0001
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Regular,Equity,0.0115,0.001193,30.0579,0.0
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Regular,Equity,0.0005,0.001161,29.2636,0.0
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Regular,Equity,0.0181,0.001122,28.2704,0.0002
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Regular,Equity,-0.0228,0.001085,27.3305,0.0003
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Regular,Equity,0.0051,0.001079,27.1954,0.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Regular,Equity,0.0237,0.001071,26.9838,0.0005
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Regular,Equity,-0.0025,0.001055,26.5986,0.0
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Regular,Equity,-0.0663,0.001035,26.0767,0.0019
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Regular,Equity,-0.0318,0.000921,23.201,0.0009
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Regular,Equity,-0.0084,0.000866,21.8294,0.0001
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Regular,Equity,0.0211,0.000849,21.3998,0.0003
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Direct,Equity,0.0162,0.000841,21.1948,0.0002
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Regular,Equity,-0.0264,0.000828,20.873,0.0005
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Direct,Equity,-0.0262,0.000788,19.8686,0.0006
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Direct,Equity,0.0488,0.000704,17.7298,0.0018
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Regular,Equity,-0.0403,0.000703,17.7033,0.0014
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Regular,Equity,0.1035,0.000694,17.5007,0.0028
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Regular,Equity,-0.0195,0.000677,17.0488,0.0004
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Regular,Equity,0.0419,0.000645,16.2539,0.0013
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Regular,Equity,0.0167,0.000643,16.2113,0.0002
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Direct,Equity,-0.0366,0.000621,15.6438,0.0011
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Direct,Equity,-0.0014,0.000601,15.1364,0.0
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Regular,Equity,-0.0041,0.000523,13.1732,0.0
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Regular,Equity,0.0364,0.000518,13.0429,0.0012
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Direct,Equity,0.0091,0.000476,11.9891,0.0
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Regular,Equity,-0.0653,0.000432,10.8971,0.0011
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Direct,Equity,0.0259,0.000327,8.2328,0.0006
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Regular,Equity,0.0181,0.00031,7.8044,0.0002
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Regular,Equity,0.0097,0.000274,6.8995,0.0001
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Regular,Debt,-0.0004,0.000268,6.7462,0.0001
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Regular,Debt,-0.0004,0.000256,6.4557,0.0001
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Regular,Debt,0.0003,0.000242,6.0861,0.0
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Regular,Debt,-0.0064,0.000223,5.6209,0.0004
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Regular,Debt,0.0013,0.000201,5.0748,0.0
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Direct,Equity,0.062,0.000194,4.8824,0.001
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Regular,Equity,-0.067,0.000191,4.8016,0.0012
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Regular,Debt,0.0012,0.00017,4.2818,0.0
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Regular,Equity,-0.0583,0.000149,3.7476,0.0027
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Regular,Equity,-0.0421,0.000115,2.8969,0.0009
