amfi_code,scheme_name,fund_house,plan,category,cagr_3yr,sharpe_ratio,alpha_annual,beta,max_drawdown,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_dd,score,rank
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Regular,Equity,31.777537151234704,0.8833,29.2636,0.0005,-18.1885,1.36,36.0,37.0,38.0,26.0,25.0,85.12,1
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Regular,Equity,35.11180209642853,0.7305,26.0767,-0.0663,-20.9609,1.38,40.0,32.0,32.0,24.0,28.0,82.0,2
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Regular,Equity,32.442459421956116,0.8083,27.1954,0.0051,-16.2172,1.38,37.0,34.0,35.0,24.0,20.0,80.5,3
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Regular,Equity,34.00091602163293,1.0682,26.9838,0.0237,-11.2657,1.46,39.0,40.0,34.0,18.0,8.0,80.0,4
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Regular,Equity,29.58277033726251,0.9656,27.3305,-0.0228,-12.974,1.45,34.0,39.0,36.0,19.0,13.0,78.25,5
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Regular,Equity,26.66992200118774,0.7117,30.337,-0.0232,-28.706,1.43,29.0,28.0,40.0,20.0,36.0,75.75,6
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Regular,Equity,27.000426614519245,0.7144,30.0579,0.0115,-31.1719,1.52,31.0,29.0,39.0,14.5,37.0,75.56,7
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Direct,Equity,32.48742855621496,0.7147,21.1948,0.0162,-12.5883,0.8,38.0,30.0,28.0,29.0,12.0,75.12,8
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Regular,Equity,29.178901578393777,0.919,28.2704,0.0181,-16.3967,1.6,33.0,38.0,37.0,4.5,21.0,73.94,9
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Regular,Equity,30.456524420302888,0.861,23.201,-0.0318,-15.0124,1.54,35.0,36.0,31.0,10.5,17.0,72.44,10
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Regular,Equity,22.652359830098632,0.7589,21.8294,-0.0084,-17.4141,1.51,27.0,33.0,30.0,16.5,23.0,67.81,11
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Regular,Equity,26.869990828902203,0.8329,26.5986,-0.0025,-17.2481,1.61,30.0,35.0,33.0,3.0,22.0,67.5,12
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Regular,Equity,28.96769452874166,0.7174,21.3998,0.0211,-11.2916,1.6,32.0,31.0,29.0,4.5,9.0,61.81,13
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Direct,Equity,21.08997654925684,0.3888,15.6438,-0.0366,-18.6297,0.72,26.0,20.0,19.0,35.5,26.0,61.31,14
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Direct,Equity,16.267372294624916,0.6482,19.8686,-0.0262,-11.8035,0.66,18.0,27.0,26.0,37.0,11.0,60.0,15
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Direct,Equity,18.434488610520173,0.5063,17.7298,0.0488,-15.2,0.92,22.0,23.0,25.0,27.0,18.0,58.0,16
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Regular,Equity,18.421996537444542,0.4046,16.2539,0.0419,-19.8257,1.41,21.0,22.0,21.0,22.0,27.0,55.0,17
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Direct,Equity,20.816771175535862,-0.0471,8.2328,0.0259,-21.7514,0.75,25.0,13.0,13.0,33.0,31.0,53.5,18
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Direct,Equity,20.00820838047148,0.3932,15.1364,-0.0014,-11.6506,0.89,24.0,21.0,18.0,28.0,10.0,53.12,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Regular,Equity,14.748035533586012,0.6407,20.873,-0.0264,-15.2726,1.52,17.0,26.0,27.0,14.5,19.0,52.69,20
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Regular,Equity,25.556187904126524,0.3846,16.2113,0.0167,-21.5398,1.64,28.0,19.0,20.0,1.5,30.0,50.94,21
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Regular,Equity,13.978381933703044,0.5166,17.7033,-0.0403,-13.8979,1.42,16.0,24.0,24.0,21.0,14.0,50.38,22
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Regular,Equity,19.66726206830185,0.5198,17.0488,-0.0195,-10.8599,1.57,23.0,25.0,22.0,7.0,7.0,48.25,23
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Direct,Equity,11.245222866621418,0.1348,11.9891,0.0091,-21.1173,0.78,15.0,15.0,15.0,31.0,29.0,47.0,24
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Regular,Equity,8.007927728656083,0.2923,17.5007,0.1035,-23.3449,1.53,14.0,18.0,23.0,12.5,32.0,45.94,25
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Regular,Equity,18.04420648663614,0.2397,13.1732,-0.0041,-14.8446,1.54,20.0,16.0,17.0,10.5,16.0,41.44,26
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Regular,Equity,17.26727508371786,0.2551,13.0429,0.0364,-17.5736,1.59,19.0,17.0,16.0,6.0,24.0,41.12,27
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Regular,Equity,7.756003551327284,-0.0582,7.8044,0.0181,-24.0035,1.56,13.0,12.0,12.0,8.0,33.0,34.5,28
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Direct,Equity,-1.337386614488112,-0.1362,4.8824,0.062,-52.5742,0.72,3.0,10.0,5.0,35.5,40.0,34.31,29
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Regular,Equity,-4.152381044854481,0.0526,10.8971,-0.0653,-35.4469,1.53,2.0,14.0,14.0,12.5,38.0,31.44,30
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Regular,Debt,7.394286300360076,-3.6502,6.7462,-0.0004,-0.0977,0.74,12.0,3.0,10.0,34.0,1.0,28.88,31
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Regular,Debt,6.695971624586994,-4.0003,6.4557,-0.0004,-0.1163,0.6,11.0,2.0,9.0,38.0,2.0,28.75,32
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Regular,Debt,4.062205023777143,-0.8506,5.0748,0.0013,-8.3164,0.55,8.0,5.0,6.0,40.0,6.0,28.62,33
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Regular,Debt,5.840358798463097,-0.7431,5.6209,-0.0064,-4.3287,0.77,9.0,6.0,7.0,32.0,5.0,27.25,34
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Regular,Equity,-11.705806723995272,-0.1517,4.8016,-0.067,-51.6778,1.38,1.0,9.0,4.0,24.0,39.0,27.12,35
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Regular,Debt,3.9163899571040384,-1.0399,4.2818,0.0012,-4.3083,0.56,7.0,4.0,3.0,39.0,4.0,24.88,36
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Regular,Debt,6.315784491375509,-4.6504,6.0861,0.0003,-0.1622,0.79,10.0,1.0,8.0,30.0,3.0,24.12,37
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Regular,Equity,-0.7674063178547241,-0.2949,2.8969,-0.0421,-28.0011,1.51,4.0,8.0,1.0,16.5,35.0,23.44,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Regular,Equity,1.292649342495622,-0.321,3.7476,-0.0583,-24.7344,1.55,6.0,7.0,2.0,9.0,34.0,21.75,39
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Regular,Equity,0.5258871209757432,-0.131,6.8995,0.0097,-14.4016,1.64,5.0,11.0,11.0,1.5,15.0,20.44,40
