amfi_code,scheme_name,fund_house,risk_category,var_95_daily,cvar_95_daily,var_95_annual
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Very High,-2.3915,-3.0289,-37.9633
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Very High,-2.3284,-2.969,-36.9616
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Very High,-2.3155,-3.0163,-36.7581
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Very High,-2.281,-2.994,-36.2094
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Very High,-2.152,-2.8573,-34.1624
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Very High,-2.1502,-2.8444,-34.1332
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,High,-1.6997,-2.2375,-26.9812
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,High,-1.695,-2.1251,-26.9072
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,High,-1.6902,-2.185,-26.8305
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,High,-1.6857,-2.1771,-26.7597
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,High,-1.6762,-2.1484,-26.6094
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,High,-1.6224,-2.2363,-25.7549
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,High,-1.5866,-2.0903,-25.1865
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,High,-1.5259,-1.9852,-24.223
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Moderately High,-1.3743,-1.7964,-21.8169
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Moderately High,-1.3327,-1.7114,-21.1567
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Moderately High,-1.3313,-1.7384,-21.1332
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Moderately High,-1.3005,-1.7792,-20.6454
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Moderate,-1.2955,-1.6995,-20.5661
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Moderate,-1.2884,-1.6768,-20.452
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Moderate,-1.2693,-1.6166,-20.1493
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Moderate,-1.2607,-1.6343,-20.0136
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Moderate,-1.2588,-1.6332,-19.9826
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Moderate,-1.2531,-1.6226,-19.8928
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Moderate,-1.2502,-1.6964,-19.8461
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Moderate,-1.2333,-1.6328,-19.5788
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Moderate,-1.2173,-1.6075,-19.3247
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Moderate,-1.2133,-1.61,-19.2609
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Moderate,-1.2129,-1.6078,-19.2543
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Moderate,-1.2066,-1.5542,-19.1537
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Moderate,-1.1827,-1.523,-18.7745
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Moderate,-1.1725,-1.5249,-18.6128
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Moderate,-1.1047,-1.4381,-17.5369
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Moderate,-1.1033,-1.4938,-17.5151
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Low,-0.3429,-0.4618,-5.4431
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Low,-0.3344,-0.4541,-5.3091
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Low,-0.3338,-0.4581,-5.2983
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Low,-0.0218,-0.0371,-0.3468
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Low,-0.0204,-0.0362,-0.3235
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Low,-0.0196,-0.0325,-0.3107
